RA,Dec,z,direction_cw_ccw
139.78433,3.63078,0.03595,-1
215.51321,0.86209,0.03595,1
163.41199,2.50665,0.03598,1
354.61702,-0.32355,0.036,-1
236.6774,43.24357,0.03606,1
156.18005,-0.8803,0.03607,1
144.67374,2.94938,0.0361,-1
198.92995,-0.47165,0.03627,1
354.46546,-0.47451,0.03627,-1
145.31585,1.8997,0.03629,1
142.20886,3.31359,0.0363,-1
225.4086,-0.50964,0.03635,1
235.85211,44.12181,0.03637,-1
214.56876,-0.37878,0.03638,-1
148.64487,0.63237,0.03641,-1
239.12987,42.13907,0.03646,-1
225.90667,-0.39226,0.03653,-1
183.87238,3.5492,0.03654,-1
199.25876,1.8056,0.03663,1
355.65405,-0.47715,0.03665,-1
221.01293,1.73832,0.03668,-1
235.9422,43.76719,0.03676,-1
235.9422,43.76719,0.03676,1
164.93559,3.98508,0.03678,-1
144.20354,-0.38793,0.03681,-1
147.80924,-0.72849,0.03681,1
336.5901,0.80774,0.03682,1
356.91966,-1.09183,0.03684,1
198.90804,1.77551,0.03688,1
217.3067,1.07183,0.03689,1
18.25823,-0.11466,0.03702,-1
221.21718,0.36579,0.03703,1
356.01419,-0.35925,0.03704,-1
358.74337,-1.04478,0.03706,1
182.29784,2.72562,0.03709,-1
220.1224,0.58408,0.03718,1
213.70927,-1.59707,0.0372,1
221.65413,44.52916,0.0372,1
202.68117,-1.08041,0.03726,-1
147.6592,-1.00378,0.03727,1
242.47328,44.22275,0.03729,-1
181.78976,-1.25257,0.03731,1
164.62061,2.69646,0.03732,-1
236.37748,44.01636,0.03735,1
358.30999,0.21944,0.03739,1
181.99999,1.39594,0.03743,1
245.27511,42.42268,0.03753,-1
162.73434,-0.7979,0.03756,1
236.45263,43.28029,0.03758,1
245.44262,42.8274,0.03759,1
136.3076,1.8947,0.0376,-1
234.99955,44.466,0.03761,1
357.3925,0.45514,0.03768,1
220.96355,44.19355,0.03769,-1
338.02478,1.13188,0.03773,1
219.19742,-0.7595,0.03777,1
213.5549,-0.89438,0.03778,-1
161.80426,0.20438,0.03782,1
220.99903,44.25859,0.03782,1
165.58206,-0.2066,0.03784,1
164.8797,1.74048,0.03787,1
168.32764,0.03712,0.03789,1
357.48806,-0.92955,0.03789,1
162.88428,0.25733,0.0379,-1
165.61143,-0.16713,0.0379,-1
170.53635,3.41114,0.03793,-1
2.52297,-1.09434,0.03794,-1
216.17932,1.20526,0.03796,1
243.3409,42.06434,0.038,1
356.8057,-0.48018,0.038,-1
139.25051,0.84399,0.03801,-1
213.78575,-0.78298,0.03804,1
162.1264,4.4776,0.03817,1
161.49682,0.01127,0.03825,1
168.61125,4.08472,0.03827,-1
139.7905,5.44425,0.03828,-1
216.08084,1.1244,0.03829,1
6.57355,0.09899,0.03835,1
162.40639,-0.90703,0.03836,-1
165.4276,1.90389,0.03836,1
357.92589,-1.01695,0.03836,1
353.68898,-0.75654,0.03838,1
170.61424,4.28681,0.0384,-1
39.40783,-0.90575,0.03848,-1
158.95449,2.47087,0.03852,1
149.33769,0.81492,0.03853,-1
181.02595,2.15013,0.03853,-1
164.30686,-0.83179,0.03856,-1
198.87381,-0.60727,0.03856,-1
168.79144,-1.08626,0.03856,1
216.4087,1.60044,0.03858,-1
180.39357,0.34747,0.03859,1
239.35073,41.90299,0.03867,1
2.75463,-0.08859,0.03868,1
171.4088,-2.01057,0.03869,-1
